2021/1/24 24時時点
うち重症※6
北 海 道	16672	296,993	1,514	16	14,511	565	12
青　  森	677	12,455	69	4	599	9	0
岩    手	488	18,808	52	1	410	25	0
宮    城	3264	45,534	533	10	2,666	22	0
秋　　田	247	6,089	63	1	178	1	0
山    形	458	13,066	32	1	412	13	0
福    島	1610	76,841	295	11	1,254	35	0
茨    城	4,365	21,908	883	12	3,385	51	0
栃    木	3,556	98,784	971	20	2,556	35	35
群    馬	3,604	69,533	495	11	3,021	65	0
埼    玉	23,342	418,597	5,273	91	17,483	304	0
千    葉	20231	302,123	6,433	47	13,277	208	0
東    京	93890	1,232,156	18,235	156	73,890	779	0
神 奈 川	38027	455,639	4,978	116	32,106	390	0
新    潟	845	35,121	146	1	692	7	7
富    山	847	28,649	89	3	723	27	0
石    川	1,422	38,179	215	7	1,188	56	43
福    井	480	25,002	76	4	387	13	0
山    梨	884	14,741	109	4	753	12	0
長    野	2,184	69,826	311	1	1,834	28	18
岐    阜	3,907	96,096	598	14	3,246	63	0
静    岡	4,267	128,855	810	11	3,302	69	0
愛    知	22,861	281,822	3,299	58	18,774	354	0
三    重	2000	42,391	390	4	1,558	28	0
滋    賀	1,967	51,471	396	11	1,514	26	0
京    都	7,759	118,410	1,511	21	5,850	93	61
大    阪	41,454	603,837	6,137	174	34,070	826	0
兵    庫	15388	185,552	2,108	58	12,534	343	0
奈    良	2,833	63,299	399	11	2,400	34	0
和 歌 山	992	20,208	145	15	804	12	14
鳥    取	196	31,811	35	1	149	2	3
島    根	242	11,764	12	0	230	0	0
岡    山	2,228	47,392	387	21	1,750	17	65
広    島	4,623	107,047	406	13	4,009	81	82
山    口	1,100	40,022	351	2	718	8	0
徳    島	363	19,831	114	0	233	12	0
香    川	588	34,634	177	1	397	12	0
愛    媛	940	22,607	204	3	710	17	0
高    知	823	6,693	61	4	744	13	0
福    岡	15059	343,861	3,793	28	10,666	162	0
佐    賀	899	21,777	214	2	684	4	16
長    崎	1,408	52,644	381	2	981	18	21
熊    本	3,225	48,014	273	16	2,243	45	515
大    分	1,042	58,344	165	3	853	14	0
宮    崎	1,727	20,872	350	8	1,339	15	8
鹿 児 島	1,529	52,400	225	2	1,272	15	15
沖    縄	7015	115,893	822	7	6,032	90	5
（その他）※3 149 - 0 - 149 - 0
合計	358,527 5,907,591 64,535 1,007 288,536 5,018 920

















































