2020/9/4 24時時点
うち重症※6
北 海 道	1809	45969	111	2	1594	104	0
青　  森	35	2104	2	0	32	1	0
岩    手	22	3307	5	0	17	0	0
宮    城	226	8111	33	0	191	2	0
秋　　田	50	1816	3	0	47	0	0
山    形	78	3123	2	1	76	1	1
福    島	173	15569	48	2	125	0	0
茨    城	567	11063	59	3	494	14	0
栃    木	309	23568	20	3	290	1	2
群    馬	471	15322	65	0	387	19	0
埼    玉	4079	114213	463	11	3526	90	0
千    葉	3160	58263	352	10	2745	63	0
東    京	21475	344966	2371	28	18735	369	0
神 奈 川	5285	120662	589	22	4570	126	0
新    潟	145	13153	8	0	137	0	0
富    山	401	9850	58	1	327	25	9
石    川	681	9173	127	2	517	37	0
福    井	241	8577	68	4	163	8	2
山    梨	174	9693	11	1	158	5	0
長    野	284	15619	71	0	217	1	5
岐    阜	564	18722	24	2	530	10	0
静    岡	487	26858	35	2	451	1	0
愛    知	4604	56596	605	18	3927	72	0
三    重	388	10081	50	3	336	2	0
滋    賀	459	9588	66	3	386	7	0
京    都	1512	32853	147	3	1340	25	0
大    阪	8900	142305	931	49	7801	161	7
兵    庫	2322	43127	136	8	2133	53	0
奈    良	531	15262	41	3	482	8	0
和 歌 山	231	8730	3	0	221	4	3
鳥    取	22	4575	0	0	22	0	0
島    根	137	4949	1	0	136	0	0
岡    山	146	7049	4	0	141	0	1
広    島	459	18176	13	0	443	3	0
山    口	178	7153	75	0	103	0	0
徳    島	145	6190	63	2	73	4	5
香    川	82	8602	10	0	71	1	0
愛    媛	114	3855	1	0	107	6	0
高    知	130	3174	14	1	113	3	0
福    岡	4755	42536	734	13	3954	67	0
佐    賀	239	5259	15	0	225	0	1
長    崎	234	15279	24	0	201	3	6
熊    本	537	11869	59	1	460	7	11
大    分	153	13261	15	0	136	2	0
宮    崎	338	8161	22	0	316	1	1
鹿 児 島	370	16322	49	1	302	11	8
沖    縄	2200	25134	354	11	1819	31	4
（その他）※3 149 - 0 - 149 - 0
合計 70,592 1,414,717 7,908 211 61,357 1,356 99
